Coin,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
MELANIA,Neutral,500.0,100.0,0.2,777533.7499999999,41298.450046,143.248008,41155.202038,82.31040407600001,411.9721708000001,120.035348,0.99,329577737.64000005,41197.21720500001,-0.000125,52.9304381166734,1.8423381364474534
AIXBT,Greed,320.0,177.0,0.553125,472888.28,40092.549106,141.26876,39951.280346,124.84775108125,226.03253137853108,18.904875,0.9717514124293786,5178.3591470401925,40015.485498999995,-7.7274449999999995,84.48354936180698,2.9873601434994326
FARTCOIN,Greed,2210.0,1078.0,0.48778280542986424,5199391.57,41367.714132,1634.984172,39732.72996,17.978610841628957,37.82862923562152,9.6303305,0.813543599257885,3.101259723328552,60186.316980999996,-19407.054665000003,7.641803742817546,3.144568263397788
kBONK,Extreme Greed,730.0,531.0,0.7273972602739726,2084177.97,36700.494102,105.77606000000002,36594.718042,50.12975074246575,69.00810544444444,18.356665,0.9416195856873822,555.6956343713102,36709.36419,-66.06019900000001,17.558346057174763,0.5075193266724722
SOL,Extreme Greed,1913.0,789.0,0.41244119184526923,8040613.06,37715.928639,1578.700673,36137.227966,18.89034394458965,46.96450343726235,0.875649,0.5982256020278834,4.464342855097916,47751.103488,-10696.110276,4.49433739645718,1.9634083386671517
ENA,Greed,365.0,120.0,0.3287671232876712,674815.97,33865.081319000004,104.383479,33760.69784000001,92.49506257534249,281.9577045583334,42.0853015,0.9333333333333333,90.30721604337148,34213.784465000004,-378.859918,50.02948854337281,1.546843637977329
SUI,Fear,318.0,122.0,0.3836477987421384,1341882.9600000002,26130.152572000003,311.725257,25818.427315,81.19002300314466,213.06234432786886,28.990911,0.8852459016393442,180.1859063137029,26138.671022,-145.065014,19.240446510327544,2.323043561116537
SUI,Extreme Greed,439.0,235.0,0.5353075170842825,804037.54,23252.772655999997,171.644766,23081.127889999996,52.57660111617311,98.39673013191486,2.773848,0.9191489361702128,104.32024677380254,23347.033133,-223.801552,28.706530157783423,2.1347854728275495
AIXBT,Neutral,176.0,144.0,0.8181818181818182,349449.0,21990.866694,78.095535,21912.771159,124.50438158522728,152.54742830555557,42.9908225,0.9652777777777778,75.95979236396245,22259.877842,-293.04816600000004,62.706635758007614,2.2348192440098553
ANIME,Extreme Greed,634.0,252.0,0.39747634069400634,580200.48,21215.967868,150.462063,21065.505805,33.22634985015773,83.9836909404762,6.211501,0.8214285714285714,19.99638511742399,22277.991035999996,-1114.1009190000002,36.30728779300562,2.5932771203498493
kPEPE,Extreme Greed,937.0,555.0,0.5923159018143009,1815877.2800000003,20930.683155,249.95212700000002,20680.731028,22.071217745997863,37.43488757117117,2.0067820000000003,0.6810810810810811,5.711407535099312,25186.162104,-4409.799502000001,11.38883737121266,1.3764813831472134
DOGE,Extreme Greed,489.0,288.0,0.588957055214724,1759319.4,20799.015496,297.082039,20501.933457,41.926244288343554,71.77564925347221,7.3697045,0.8541666666666666,92.01944967459272,20898.496542999997,-227.109558,11.653332224381769,1.6886191273739153
TRUMP,Neutral,337.0,169.0,0.5014836795252225,1363596.76,20121.153242,369.94586599999997,19751.207376000002,58.6089239643917,118.03549801183432,31.281795,1.0,inf,19947.999164,0.0,14.484639414954316,2.7130151438611514
USUAL,Greed,220.0,128.0,0.5818181818181818,349235.92,19215.983896,84.13099899999999,19131.852896999997,86.96296771363635,149.8382350859375,6.467652,0.9140625,91.79323081633399,19390.535544999995,-211.24145399999998,54.78203071722977,2.409001886174824
TRUMP,Fear,442.0,133.0,0.3009049773755656,1499406.4900000002,18920.459616,202.10399700000002,18718.355619,42.349220857466065,141.6550370150376,18.147448999999998,0.9398496240601504,6.317508230860456,22383.155327000004,-3543.035404,12.483843269879403,1.34789330543714
PURR,Extreme Greed,574.0,452.0,0.7874564459930313,545496.64,18075.567600000002,63.867089,18011.700511000003,31.379269182926834,39.910608460176995,4.519504,0.9668141592920354,112.60372463397331,18201.234746,-161.639722,33.01890275804449,1.1708062766436105
WLD,Extreme Greed,630.0,278.0,0.44126984126984126,1225422.97,16762.504226,207.057258,16555.446968,26.278487250793653,59.929318348920866,13.783863,0.9388489208633094,231.95957541096388,16732.485854,-72.135353,13.509985836155822,1.689679915172473
VIRTUAL,Extreme Greed,222.0,176.0,0.7927927927927928,1109730.6600000001,16012.935511,341.460333,15671.475178,70.59223053153154,90.0855133068182,20.060783,0.9829545454545454,8172.278494118809,15856.990680999996,-1.940339,14.121872759647822,3.0769658378187006
XRP,Fear,268.0,192.0,0.7164179104477612,1016981.93,14977.157366,87.84400200000002,14889.313364,55.55713941791045,77.73287980208333,8.25925,0.984375,165.96172457365637,15015.186715,-90.473793,14.64068625486787,0.8637715126364144
PURR/USDC,Greed,850.0,297.0,0.34941176470588237,688536.2599999999,14983.976218,692.6009500000001,14291.375268000002,16.813382668235295,50.22952115488216,8.996031,0.9124579124579124,2.873176522606984,22882.269192,-7964.101409,20.756169425267455,10.05903378276694
ME,Fear,180.0,165.0,0.9166666666666666,78358.19,13858.127604000001,8.46423,13849.663374,76.9425743,83.9448442727273,35.026263,0.7818181818181819,18.981961375502166,14621.16563,-770.266325,176.74812771964233,1.0801972327334257
