Account,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986.0,1500.0,0.3763171098845961,3752401.08,56071.411053,1194.62009507,54876.790957929996,13.767383582019567,37.01294863333334,4.4509095,0.88,49.13010158534807,56672.95101499999,-1153.528065,14.624447064152854,3.1836151562721535
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297.0,145.0,0.4882154882154882,7343356.08,57108.91130000001,2489.49220698,54619.41909302,183.90376798996633,385.0646044827587,54.228396999999994,0.9862068965517241,1627.8819137254764,55868.687515,-34.319865,7.43793689125041,3.390128682116148
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471.0,504.0,0.34262406526172673,6207226.959999999,54685.021109,489.815443,54195.205665999994,36.84242397416723,107.99070119047619,1.775477,0.9404761904761905,34.90474266137343,56032.614285,-1605.3008849999994,8.730985030068886,0.7891050966178947
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,12901.0,6437.0,0.49895356949073716,19395677.619999997,55978.79696,4455.59968697,51523.197273030004,3.9937367082419972,8.27999833695821,3.110004,0.7509709491999379,1.8352952758647696,117106.143778,-63807.79448299999,2.656426771081278,2.297212695665541
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1664.0,1498.0,0.9002403846153846,3316716.2299999995,49364.275663,506.12633,48858.149333,29.36186858954327,32.72410845927903,7.4673419999999995,0.8651535380507344,15.512084559641004,52398.638179,-3377.923707,14.73088016727919,1.525986231267063
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,3497.0,1530.0,0.4375178724621104,5836132.71,47791.24778199999,387.841176,47403.406606,13.555449415498998,31.090507885620916,8.994950500000002,0.9679738562091503,44.15739729351033,48670.686189,-1102.2091240000002,8.122400391063074,0.6645516736373187
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946.0,354.0,0.37420718816067655,2042756.6,47610.460743999996,294.206364,47316.254380000006,50.017182219873156,133.9786571836158,5.753042,0.8192090395480226,10.286792528454312,52535.53027,-5107.085627,23.162942848893504,1.4402418966606203
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256.0,133.0,0.51953125,417993.96,46411.26711,24.683635270000003,46386.583474729996,181.19759169816405,348.8457488045113,72.19175100000001,1.0,inf,46396.484591,0.0,110.97429129054878,0.590526123152593
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,108.0,103.0,0.9537037037037037,128086.16,44169.810737,24.28091997,44145.52981703,408.75490571324076,428.60250105825247,79.185565,1.0,inf,44146.057609,0.0,344.65495582840487,1.8956708492158714
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015.0,678.0,0.6679802955665025,3242893.15,42292.843076000005,979.5417910000001,41313.301285,40.70275988669951,61.76000718584071,8.659884,0.8613569321533924,9.172309036833592,46997.08583,-5123.800957999998,12.739643082289037,3.020579913340654
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277.0,574.0,0.4494909945184025,21862924.689999998,45514.323221,6955.470137,38558.853084,30.19487320595145,72.96774879268293,37.0277215,0.9425087108013938,1.749661982328098,97753.318203,-55869.830396000005,1.7636639942155885,3.1813996689022126
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,170.0,76.0,0.4470588235294118,423422.33,38168.35486,142.26975099999999,38026.08510900001,223.68285358235298,501.24807367105257,117.04185900000002,1.0,inf,38094.853598999995,0.0,89.80651801949132,3.3599964130375453
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387.0,171.0,0.4418604651162791,3876163.91,37712.523409,847.6333339999999,36864.89007499999,95.25811388888886,218.24007622222226,6.316039,0.5614035087719298,1.4349915142126013,123111.653153,-85792.600119,9.510663359692646,2.186784031018956
