Coin,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
TIA,322.0,158.0,0.4906832298136646,764851.2300000001,13021.498253999998,175.741148,12845.757106,39.89365560869565,81.81678507594937,4.235809,0.8227848101265823,5.4294011077781015,15845.517028,-2918.464986,16.795105508296036,2.2977167468240847
@151,324.0,301.0,0.9290123456790124,574271.34,11583.842768999999,58.240347207999996,11525.602421792,35.57284698083951,38.29105444850499,27.237571,0.9568106312292359,231.71289568479327,11575.563882999999,-49.95649399999999,20.069959301454958,1.0141607834373207
SEI,235.0,170.0,0.723404255319149,1266275.0,9957.777466,355.51860999999997,9602.258856,40.86067598297873,57.66942584705881,3.9618585,0.8647058823529412,6.196740168030322,11690.331655999998,-1886.5292619999998,7.583075442538154,2.807594006041341
APE,692.0,241.0,0.34826589595375723,655500.97,9731.40994,169.22250400000001,9562.187436,13.818189936416186,40.05063248547717,7.549086,0.9585062240663901,107.88515580366253,9742.506853,-90.304424,14.587602267011139,2.5815751882106297
WIF,289.0,189.0,0.6539792387543253,588175.3999999999,8984.600779,60.095476000000005,8924.505302999998,30.880641186851204,47.33387851322751,19.932054,0.9312169312169312,3.2040544840841676,13005.033116999999,-4058.9300779999994,15.173203950726261,1.021727124255792
MAVIA,298.0,235.0,0.7885906040268457,345694.75,8257.300045,43.546591,8213.753454000002,27.56293105369128,35.01928732765958,11.750996,0.9957446808510638,5471764.644946809,8229.534026000001,-0.0015040000000000001,23.760133626559274,1.259683318881759
AI16Z,540.0,355.0,0.6574074074074074,631600.2799999999,8024.3526679999995,106.70966,7917.643008000001,14.662301866666668,22.438433622535214,5.6216099999999996,0.8225352112676056,3.4522859371895684,11213.89644,-3248.2525039999996,12.535844676952966,1.6895125505644173
PENDLE,1165.0,594.0,0.5098712446351932,619760.27,7712.609737999999,148.46486,7564.144878,6.492828221459227,12.862982252525251,5.477204499999999,0.8872053872053872,5.561322506070811,9315.698332,-1675.0868739999999,12.204952857013568,2.39552077128145
@142,1309.0,337.0,0.25744843391902217,2486351.27,7450.3596720000005,181.13296774280002,7269.2267042572,5.553267153748816,21.57041106231454,4.916337,0.8041543026706232,2.7585810717337167,11402.804537,-4133.576009,2.923652338254361,0.728509160907099
AAVE,585.0,229.0,0.39145299145299145,1100411.81,7485.007984,307.524146,7177.483838,12.269203141880341,31.958538960698686,4.957679000000001,0.8209606986899564,2.253822758290302,13155.459149,-5836.953727,6.522543444894507,2.79462782210598
GRIFFAIN,562.0,421.0,0.7491103202846975,583690.79,7092.1399949999995,82.510808,7009.6291870000005,12.472649798932386,16.72695993349169,9.529254,0.9524940617577197,5.368583771701029,8654.02566,-1611.9755280000002,12.009148177582176,1.4136047615210785
FTT,1560.0,636.0,0.4076923076923077,384755.3,6909.363767000001,95.19339699999999,6814.170370000001,4.36805792948718,10.788072794025158,2.361721,0.839622641509434,15.054634389068,7349.395925000001,-488.181628,17.710400272588842,2.4741282836129868
RUNE,322.0,218.0,0.6770186335403726,672350.38,6244.389122999999,93.61119400000001,6150.777929,19.101794810559007,28.38182241743119,17.1780535,0.8440366972477065,4.326591082508791,8047.1705139999995,-1859.933227,9.148173499953998,1.39229777783423
RENDER,234.0,126.0,0.5384615384615384,231090.13,6100.258255999999,62.404672,6037.8535839999995,25.80279309401709,48.13859485714286,12.0990915,0.9761904761904762,1022.9795525334905,6071.397966000001,-5.935014,26.1276999757627,2.7004473103200035
INJ,158.0,104.0,0.6582278481012658,347802.63999999996,5919.778398,18.587856000000002,5901.190542,37.3493072278481,56.78564701923077,5.1836395,0.9711538461538461,34.26350705288327,6083.250423999999,-177.54313399999998,16.967066558206692,0.5344368863905118
ALT,249.0,181.0,0.7269076305220884,452509.6,5870.702544,60.254411999999995,5810.448132,23.335133060240967,32.30010191712707,16.797677,0.8950276243093923,6.141694819899399,6983.359569,-1137.0411219999999,12.840496935313638,1.3315609657784055
LTC,191.0,112.0,0.5863874345549738,343217.55000000005,5626.143524,76.97752399999999,5549.166,29.053225130890052,49.96884749107143,4.604952000000001,1.0,inf,5596.510919,0.0,16.168071824998457,2.2428201588176355
TNSR,693.0,312.0,0.45021645021645024,415869.25,5106.264766,120.234159,4986.030607000001,7.194849360750362,16.194102419871797,4.342086,0.8910256410256411,97.43482175143714,5104.953477000001,-52.393522000000004,11.989418806511905,2.891152904428495
PENGU,927.0,497.0,0.5361380798274002,1012148.96,5217.341265999999,270.84249,4946.498775999999,5.336028884573894,10.24145798189135,2.531946,0.7665995975855131,2.7043166396130864,8076.541566,-2986.5369490000003,4.887125286380772,2.6759153119121915
CHILLGUY,215.0,135.0,0.627906976744186,266880.32,4727.794586,42.10151,4685.693076,21.793921283720927,34.82271177037037,10.670627,0.8888888888888888,37.42294043835094,4830.134913,-129.06882399999998,17.55728214054899,1.5775426977905302
VINE,811.0,341.0,0.4204685573366215,676727.95,4777.252708,120.803947,4656.448761,5.741613762022195,13.782887137829913,3.272504,0.9237536656891495,19.032495731138887,4960.603117999999,-260.638604,6.880828198391983,1.7851183330022056
